Year,Refugees,Asylum,Internally Displaced,Stateless Persons,Others of Concern,Total Population,Total In,Total IDP
1997,608,0,0,0,0,608,608,0
1998,570,0,0,0,0,570,570,0
1999,556,0,0,0,0,556,556,0
2000,471,172,0,0,0,647,643,0
2001,466,335,0,0,0,801,801,0
2002,526,783,0,0,0,1309,1309,0
2003,598,2019,0,0,0,2617,2617,0
2004,1256,2696,0,0,0,3952,3952,0
2005,2590,2832,0,0,0,5422,5422,0
2006,3828,2375,0,0,0,6203,6203,0
2007,5094,1759,0,0,0,6858,6853,0
2008,5807,1526,0,0,0,7333,7333,0
2009,6221,1580,0,0,0,7801,7801,0
2010,6701,628,0,0,0,7329,7329,0
2011,7577,573,0,0,0,8150,8150,0
2012,8208,499,0,0,0,8707,8707,0
2013,8395,1157,0,0,0,9552,9552,0
2014,8009,4820,0,0,2,12831,12831,0
2015,7454,15092,0,0,2,22548,22548,0
2016,7537,45088,0,0,1,52626,52626,0
2017,9263,147958,0,0,345585,502813,502806,0
2018,21027,464209,0,0,2592947,3078198,3078183,0
