Year,Refugees,Asylum,Internally Displaced,Stateless Persons,Others of Concern,Total Population,Total In,Total IDP
1951,2116011,0,0,0,0,2116011,2116011,0
1952,1952928,0,0,0,0,1952928,1952928,0
1953,1847304,0,0,0,0,1847304,1847304,0
1954,1749628,0,0,0,0,1749628,1749628,0
1955,1717966,0,0,0,0,1717966,1717966,0
1956,1767975,0,0,0,0,1767975,1767975,0
1957,1742514,0,0,0,0,1742514,1742514,0
1958,1689310,0,0,0,0,1689310,1689310,0
1959,1674185,0,0,0,0,1674185,1674185,0
1960,1656664,0,0,0,0,1656664,1656664,0
1961,1789067,0,0,0,0,1789067,1789067,0
1962,1765622,0,0,0,0,1765622,1765622,0
1963,1682403,0,0,0,0,1682403,1682403,0
1964,3079949,0,0,0,0,3079949,3079949,0
1965,3531615,0,0,0,0,3569715,3531615,0
1966,3501013,0,0,0,0,3530103,3501013,0
1967,2356991,0,0,0,0,2364611,2356991,0
1968,2463736,0,0,0,0,2485586,2463736,0
1969,2531177,0,0,0,0,2562877,2531177,0
1970,2464730,0,0,0,0,2478610,2464730,0
1971,3279710,0,0,0,0,5338010,3279710,0
1972,3251850,0,0,0,0,13165450,3251850,0
1973,2901335,0,0,0,0,3022235,2901335,0
1974,2994463,0,0,0,0,3122113,2994463,0
1975,3529434,0,0,0,0,3618554,3529434,0
1976,4270631,0,0,0,0,4283891,4270631,0
1977,4518659,0,0,0,0,4520439,4518659,0
1978,5065844,0,0,0,0,5328094,5065844,0
1979,6279912,0,0,0,0,6851152,6279912,0
1980,8454937,0,0,0,0,9229747,8454937,0
1981,9714306,0,0,0,0,9951458,9714306,0
1982,10319369,0,0,0,0,10715539,10319369,0
1983,10620803,0,0,0,0,10723948,10620803,0
1984,10728326,0,0,0,0,11096080,10728326,0
1985,11863562,0,0,0,0,12257208,11863562,0
1986,12633974,0,0,0,0,12961034,12633974,0
1987,13128347,0,0,0,0,13369027,13128347,0
1988,14347051,0,0,0,0,14581693,14347051,0
1989,14732934,0,0,0,0,14940123,14732934,0
1990,17395979,0,0,0,0,17535101,17395979,0
1991,16854795,0,0,0,0,19039523,16854795,0
1992,17838074,0,0,0,0,20081130,17838074,0
1993,16325525,0,4198400,0,0,21385017,16325525,4198400
1994,15753691,0,5322990,0,0,24113684,15753691,5322990
1995,14896087,0,4286690,0,0,20356497,14896087,4286690
1996,13357087,0,4853712,0,0,20287445,13357087,4853712
1997,12015350,0,4573112,0,1404100,19019420,13419450,4472830
1998,11480860,0,5063880,0,1378545,19146932,12859405,4856638
1999,11687226,0,3968648,0,1491144,19794553,13178370,2920261
2000,12129572,947926,5998501,0,1653851,21866397,14731349,5629446
2001,12116835,943980,5096502,0,1039516,19900230,14100331,4855552
2002,10594055,1093824,4646641,0,953323,20892920,12641202,3467603
2003,9592795,996488,4181701,0,905344,17009056,11494627,3943903
2004,9573397,885249,5426539,1455860,597044,19518858,12511550,5280023
2005,8661994,802174,6616791,2383651,960366,21049956,12808185,6097361
2006,9877703,741291,12794268,5805943,1045409,32862407,17470346,10930097
2007,11390930,741110,13740317,2937315,68615,31679045,15137970,11670199
2008,10489812,825043,14442227,6572167,166856,34461484,18053878,13080791
2009,10396538,989169,15628057,6559573,411698,36466053,18356978,13398517
2010,10549681,837445,14697804,3463070,1255579,33924438,16105775,11774571
2011,10404804,897021,15473378,3477101,1411848,35441863,16190774,12227574
2012,10497957,942797,17670368,3335777,1329607,35847933,16106138,16124882
2013,11699279,1164450,23925555,3469278,836100,42865398,17169107,22569373
2014,14385316,1804465,32274619,3492263,1052767,54958844,20734811,30452028
2015,16111285,3224966,37494172,3687764,870740,63907656,23894755,35176858
2016,17187488,2720462,36627127,3242207,803134,67643792,23953291,30115983
2017,19938577,3087931,39118516,2796202,1596068,71436071,27418778,34889545
2018,20356406,3498943,41408938,2820336,3775703,74770183,30451388,39096209
